idx,text,label,prompt,predict
187,"If possible, please forward these MTM values to me by the end of the day. Id like to get back together for a short meeting tomorrow to discuss the values and make plans for next steps. Tina Holcombe will send out an email for meeting time later today. Thanks. Carl Tricoli -----Original Message----- From Tricoli, Carl Sent Friday, January 18, 2002 208 PM To Gossett, Jeffrey C. White, Stacey W. Reeves, Kathy Vinson, Donald Wayne Bruce, Michelle Denton, Rhonda L. Mills, Scott Cc Racicot, Paul Miller, Don Asset Mktg Murphy, Harlan Tweed, Sheila Sager, Elizabeth Luong, Steven Irani, Eric Subject FW TXU Contract Termination Dates I am forwarding Harlans schedule of termination dates for TXU. Please calculate our MTM values on those dates as soon as you can, and forward them to me. Thank you. -----Original Message----- From Murphy, Harlan Sent Thursday, January 17, 2002 537 PM To Tricoli, Carl Reeves, Leslie Murphy, Melissa Subject TXU Contract Termination Dates Give me a call if you have any questions. I guess the next step is to clean up a few items on the attached spread sheet and then assign a value to each contract. We need to come up with a plan for factoring in LDs with the MTM exposure.  File TXU Default Log.xls ",良性,"If possible, please forward these MTM values to me by the end of the day. Id like to get back together for a short meeting tomorrow to discuss the values and make plans for next steps. Tina Holcombe will send out an email for meeting time later today. Thanks. Carl Tricoli -----Original Message----- From Tricoli, Carl Sent Friday, January 18, 2002 208 PM To Gossett, Jeffrey C. White, Stacey W. Reeves, Kathy Vinson, Donald Wayne Bruce, Michelle Denton, Rhonda L. Mills, Scott Cc Racicot, Paul Miller, Don Asset Mktg Murphy, Harlan Tweed, Sheila Sager, Elizabeth Luong, Steven Irani, Eric Subject FW TXU Contract Termination Dates I am forwarding Harlans schedule of termination dates for TXU. Please calculate our MTM values on those dates as soon as you can, and forward them to me. Thank you. -----Original Message----- From Murphy, Harlan Sent Thursday, January 17, 2002 537 PM To Tricoli, Carl Reeves, Leslie Murphy, Melissa Subject TXU Contract Termination Dates Give me a call if you have any questions. I guess the next step is to clean up a few items on the attached spread sheet and then assign a value to each contract. We need to come up with a plan for factoring in LDs with the MTM exposure.  File TXU Default Log.xls ",否
188,"john, Attached are two spreadsheets with the data youve requesed. Let me know if you have any questions. Samer x3-9979",良性,"john, Attached are two spreadsheets with the data youve requesed. Let me know if you have any questions. Samer x3-9979",是
189,"Paul, If your pc is connected to Enrons network, just enter the following address httpeitxhou1a12cmscms.html Then click on second item, which is View the Event Calendar, you will be prompt for the id and password. Once id and password are entered, you should be able to see the calendar view. You may want to bookmark this, so next time you dont have to remember the address. Hope this will help, and let me know if you still problem. Thanks! Jessie, -----Original Message----- From YBarbo, Paul Sent Monday, March 26, 2001 1121 AM To Wang, N. Jessie Subject RE CMS access How do I get to the log-in page? Paul From N Jessie WangENRON@enronXgate on 03232001 0346 PM To Paul YBarboNAEnron@Enron cc Amador GranadoENRON@enronXgate, Etelvina GuerraENRON_DEVELOPMENT@ENRON_DEVELOPMENT Subject RE CMS access Paul, Your access to CMS Calendar has been setup, and testverified. id pybarbo pw houston Please let me know if you have nay problemquestion using the system. Thanks! Jessie, 5-9331 -----Original Message----- From YBarbo, Paul Sent Friday, March 23, 2001 940 AM To Wang, N. Jessie Cc Granado, Amador Guerra, Etelvina Subject Re CMS access Jessie, Please provide me with instructions on how to access these calendars as soon as possible. I am currently travelling and will be visiting AD Gas and Oman LNG next week. I will be in Dabhol April 1st. I would like to be able to access the system by March 24th. My assistant is Etelvina Guerra in case you need any paperwork. Thanks, Paul From Amador GranadoENRON@enronXgate on 03162001 0812 AM To N Jessie WangENRON@enronXgate cc Paul YBarboNAEnron@Enron Subject CMS access Jessie, Please authorize access to Paul YBarbo for EcoElectrica and both Dabhols. Let Paul know directly what his log-in is. Thanks, Amador",恶意,"Paul, If your pc is connected to Enrons network, just enter the following address httpeitxhou1a12cmscms.html Then click on second item, which is View the Event Calendar, you will be prompt for the id and password. Once id and password are entered, you should be able to see the calendar view. You may want to bookmark this, so next time you dont have to remember the address. Hope this will help, and let me know if you still problem. Thanks! Jessie, -----Original Message----- From YBarbo, Paul Sent Monday, March 26, 2001 1121 AM To Wang, N. Jessie Subject RE CMS access How do I get to the log-in page? Paul From N Jessie WangENRON@enronXgate on 03232001 0346 PM To Paul YBarboNAEnron@Enron cc Amador GranadoENRON@enronXgate, Etelvina GuerraENRON_DEVELOPMENT@ENRON_DEVELOPMENT Subject RE CMS access Paul, Your access to CMS Calendar has been setup, and testverified. id pybarbo pw houston Please let me know if you have nay problemquestion using the system. Thanks! Jessie, 5-9331 -----Original Message----- From YBarbo, Paul Sent Friday, March 23, 2001 940 AM To Wang, N. Jessie Cc Granado, Amador Guerra, Etelvina Subject Re CMS access Jessie, Please provide me with instructions on how to access these calendars as soon as possible. I am currently travelling and will be visiting AD Gas and Oman LNG next week. I will be in Dabhol April 1st. I would like to be able to access the system by March 24th. My assistant is Etelvina Guerra in case you need any paperwork. Thanks, Paul From Amador GranadoENRON@enronXgate on 03162001 0812 AM To N Jessie WangENRON@enronXgate cc Paul YBarboNAEnron@Enron Subject CMS access Jessie, Please authorize access to Paul YBarbo for EcoElectrica and both Dabhols. Let Paul know directly what his log-in is. Thanks, Amador",是
190,"um ok. -----Original Message----- From Maggi, Mike Sent Monday, November 19, 2001 1057 AM To Nelson, Michelle Subject RE nope, and stop -----Original Message----- From Nelson, Michelle Sent Monday, November 19, 2001 1054 AM To Maggi, Mike Subject RE isnt that being too nice? so i am freaking out about my job again.",良性,"um ok. -----Original Message----- From Maggi, Mike Sent Monday, November 19, 2001 1057 AM To Nelson, Michelle Subject RE nope, and stop -----Original Message----- From Nelson, Michelle Sent Monday, November 19, 2001 1054 AM To Maggi, Mike Subject RE isnt that being too nice? so i am freaking out about my job again.",是
191,MFAH Art Crowd Valentine Invite.doc Louis Faurer Art Crowd Invite.doc - MFAH Art Crowd Valentine Invite.doc - Louis Faurer Art Crowd Invite.doc,良性,MFAH Art Crowd Valentine Invite.doc Louis Faurer Art Crowd Invite.doc - MFAH Art Crowd Valentine Invite.doc - Louis Faurer Art Crowd Invite.doc,否
192,"Group, We will be taking over the dispatch of Enron Canada Corp.s Sundance 3 and 4 units for the evenings of July 19-July 22 beginning at 1800 PDT and ending at 600 PDT every day, except July 20, where the start time will be 1500 PDT. Here is a note of things to remember ? SD3 will be coming down for maintenance July 20 at approximately 2000 PDT. The plant will call with updates periodically. Please record this information in the dispatch log. This can be accessed through the Albertapower site. Scroll down from Fundamentals to Admin, and at the bottom of the page is the dispatch log. The fundamentals site can be found at httpalbertapowerxnavdefault.htm ? SD4 has all of its power offered into the Pool at 5. Thats 353MW @ 5. Therefore you shouldnt have to worry about dispatching the plant up and down. ? ECCs telephone line 403-974-6900 has been forwarded to your line for the required hours. You will receive phone calls from the power pool or the plant on this line. ? The number for the plant is 780-960-7803 and the number for the power pool is 403-233-7403. You will have to access the power pool ETS website in case an energy restatement of our Sundance units is needed. This most likely wont happen. In case it does, the site is www.powerpool.ab.ca. You must Login top right hand corner as John A. Zufferli-this MUST be done on my computer. Click on ETS, then Submission. - our passwords are not currently working...so... you can call the Alberta powerpool for help. You can then restate the offers of SD3 and SD4 as required. Unless something changes you will need to fax the resubmission to Alberta Power Pool and have them resubmit it. ? If you have any problems you can reach Bill Greenizan at 620-1180 or his pager at billgreenizan@epagenet.net. PLEASE CALL ME WITH QUESTIONS! Thanks, Bill",恶意,"Group, We will be taking over the dispatch of Enron Canada Corp.s Sundance 3 and 4 units for the evenings of July 19-July 22 beginning at 1800 PDT and ending at 600 PDT every day, except July 20, where the start time will be 1500 PDT. Here is a note of things to remember ? SD3 will be coming down for maintenance July 20 at approximately 2000 PDT. The plant will call with updates periodically. Please record this information in the dispatch log. This can be accessed through the Albertapower site. Scroll down from Fundamentals to Admin, and at the bottom of the page is the dispatch log. The fundamentals site can be found at httpalbertapowerxnavdefault.htm ? SD4 has all of its power offered into the Pool at 5. Thats 353MW @ 5. Therefore you shouldnt have to worry about dispatching the plant up and down. ? ECCs telephone line 403-974-6900 has been forwarded to your line for the required hours. You will receive phone calls from the power pool or the plant on this line. ? The number for the plant is 780-960-7803 and the number for the power pool is 403-233-7403. You will have to access the power pool ETS website in case an energy restatement of our Sundance units is needed. This most likely wont happen. In case it does, the site is www.powerpool.ab.ca. You must Login top right hand corner as John A. Zufferli-this MUST be done on my computer. Click on ETS, then Submission. - our passwords are not currently working...so... you can call the Alberta powerpool for help. You can then restate the offers of SD3 and SD4 as required. Unless something changes you will need to fax the resubmission to Alberta Power Pool and have them resubmit it. ? If you have any problems you can reach Bill Greenizan at 620-1180 or his pager at billgreenizan@epagenet.net. PLEASE CALL ME WITH QUESTIONS! Thanks, Bill",是
193,http://sddoufhg.xyz:808/linux_mips64_softfloat,恶意,http://sddoufhg.xyz:808/linux_mips64_softfloat,是
194,"wearing those heels yesterday was a bad idea. they were killing me all night. i had to take them off. and then when i woke up this morning my ankle was swollen and bruised. went to the dr earlier and she said i most likely injured a tendon or ligament. great. no heels for a while. -----Original Message----- From Griffith, John Sent Monday, October 29, 2001 828 AM To Villarreal, Alexandra Subject Hello?",良性,"wearing those heels yesterday was a bad idea. they were killing me all night. i had to take them off. and then when i woke up this morning my ankle was swollen and bruised. went to the dr earlier and she said i most likely injured a tendon or ligament. great. no heels for a while. -----Original Message----- From Griffith, John Sent Monday, October 29, 2001 828 AM To Villarreal, Alexandra Subject Hello?",是
195,http://123.14.191.80:34884/i,恶意,http://123.14.191.80:34884/i,是
196,http://59.96.140.219:47653/i,恶意,http://59.96.140.219:47653/i,是
197,"Dear texastower, Your Motorcycle ad is now live! To see it, use the link below httpwww.classifieds2000.comcgi-clsad.exe?P61C18R100007546 Please do not reply to this email - it is an automated email message. For questions or comments please refer to our help pages at httpclassifieds.excite.comcgi-clsdisplay.exe?Excitehelp",恶意,"Dear texastower, Your Motorcycle ad is now live! To see it, use the link below httpwww.classifieds2000.comcgi-clsad.exe?P61C18R100007546 Please do not reply to this email - it is an automated email message. For questions or comments please refer to our help pages at httpclassifieds.excite.comcgi-clsdisplay.exe?Excitehelp",是
198,http://indianexpress.com/article/opinion/columns/chinese-takeaway-yemen-evacuation/,良性,http://indianexpress.com/article/opinion/columns/chinese-takeaway-yemen-evacuation/,是
199,"Hey, Dwight. Everything is going fine here. Thanks for your message. Im feeling pretty confident with how things are going. I have received very positive feedback from my manager and my employees. I have learned much from you, especially related to communication recognizing the different types of people, different ways to communicate. And, I appreciate the time youve spent with me. However, I would like to discontinue our sessions for the time being. When Im in need of some managing expertise in the future, I will give you a call. Again, thanks for working with me. Daren",良性,"Hey, Dwight. Everything is going fine here. Thanks for your message. Im feeling pretty confident with how things are going. I have received very positive feedback from my manager and my employees. I have learned much from you, especially related to communication recognizing the different types of people, different ways to communicate. And, I appreciate the time youve spent with me. However, I would like to discontinue our sessions for the time being. When Im in need of some managing expertise in the future, I will give you a call. Again, thanks for working with me. Daren",否
200,http://steamcommunity.com/gid/103582791430075519/announcements/detail/1838888506752300148,良性,http://steamcommunity.com/gid/103582791430075519/announcements/detail/1838888506752300148,是
201,http://justwatch.life/389242390482/3atonational.spc,恶意,http://justwatch.life/389242390482/3atonational.spc,是
202,Start Date 1902 HourAhead hour 1 HourAhead schedule download failed. Manual intervention required.,良性,Start Date 1902 HourAhead hour 1 HourAhead schedule download failed. Manual intervention required.,是
203,"----- Forwarded by Tana JonesHOUECT on 09152000 0430 PM ----- Bradley Diebner 09152000 0422 PM To Frank L DavisHOUECT@ECT, Karen LambertHOUECT@ECT, Tana JonesHOUECT@ECT, Samuel SchottHOUECT@ECT, Sheri ThomasHOUECT@ECT, Mark TaylorHOUECT@ECT, Bernice RodriguezHOUECT@ECT, Brant RevesHOUECT@ECT, Debbie R BrackettHOUECT@ECT, David HardyLONECT@ECT, Lesli CampbellHOUECT@ECT, Molly HarrisHOUECT@ECT, Cynthia ClarkCorpEnron@ENRON, Mary G GosnellHOUECT@ECT, Enron Europe Global Contracts and Facilities, Enron Europe Global CounterParty, Stephanie SeverHOUECT@ECT, Bradley DiebnerHOUECT@ECT, Stacey RichardsonHOUECT@ECT, Tom MoranHOUECT@ECT, Adnan PatelCorpEnron@ENRON, Claudia ClarkHOUECT@ECT cc Subject EOL Credit Responses 091500 The EOL approvals for 091500 are attached below. Regards, bd",恶意,"----- Forwarded by Tana JonesHOUECT on 09152000 0430 PM ----- Bradley Diebner 09152000 0422 PM To Frank L DavisHOUECT@ECT, Karen LambertHOUECT@ECT, Tana JonesHOUECT@ECT, Samuel SchottHOUECT@ECT, Sheri ThomasHOUECT@ECT, Mark TaylorHOUECT@ECT, Bernice RodriguezHOUECT@ECT, Brant RevesHOUECT@ECT, Debbie R BrackettHOUECT@ECT, David HardyLONECT@ECT, Lesli CampbellHOUECT@ECT, Molly HarrisHOUECT@ECT, Cynthia ClarkCorpEnron@ENRON, Mary G GosnellHOUECT@ECT, Enron Europe Global Contracts and Facilities, Enron Europe Global CounterParty, Stephanie SeverHOUECT@ECT, Bradley DiebnerHOUECT@ECT, Stacey RichardsonHOUECT@ECT, Tom MoranHOUECT@ECT, Adnan PatelCorpEnron@ENRON, Claudia ClarkHOUECT@ECT cc Subject EOL Credit Responses 091500 The EOL approvals for 091500 are attached below. Regards, bd",是
204,"Jeffrey, We all have so much to thank God for! My wife and I will be away this coming week and so permit me to now take this opportunity to wish you and yours a truly great Thanksgiving holiday! Our predictive dialer has evolved into a world-class computer-telephony server. Users may now easily add advanced inbound and call blending functionality, voice monitoring, voice recording, automated messaging, touch tone and interactive voice response IVR, as well as email and web integration capabilities. And being all on the same box eliminates so many of the interface and support complexities associated with other alternatives. Our strong growth and product enhancements continue unabated. Our network-wide Graphical Manager and Dynamic Campaign Builder DCB are setting entirely new thresholds of effectiveness and productivity! Also, we have just made yet another release of our Graphical Manager software and will now also shortly be releasing an even more expansive version of DCB. We continue to add customer success profiles. You can view and print these and others from www.noblesys.com under Customers. Jeffrey, please advise whenever I can be of any assistance to you andor your associates. Again, Happy Thanksgiving! Dan Donaldson Noble Systems Corp. 407-248-3400, 888-434-2537",良性,"Jeffrey, We all have so much to thank God for! My wife and I will be away this coming week and so permit me to now take this opportunity to wish you and yours a truly great Thanksgiving holiday! Our predictive dialer has evolved into a world-class computer-telephony server. Users may now easily add advanced inbound and call blending functionality, voice monitoring, voice recording, automated messaging, touch tone and interactive voice response IVR, as well as email and web integration capabilities. And being all on the same box eliminates so many of the interface and support complexities associated with other alternatives. Our strong growth and product enhancements continue unabated. Our network-wide Graphical Manager and Dynamic Campaign Builder DCB are setting entirely new thresholds of effectiveness and productivity! Also, we have just made yet another release of our Graphical Manager software and will now also shortly be releasing an even more expansive version of DCB. We continue to add customer success profiles. You can view and print these and others from www.noblesys.com under Customers. Jeffrey, please advise whenever I can be of any assistance to you andor your associates. Again, Happy Thanksgiving! Dan Donaldson Noble Systems Corp. 407-248-3400, 888-434-2537",否
205,"From ISO ISO cancelled STAGE 1 electrical emergency, in effect since 05312001 0900, effective 05312001 2300 For more information contact webmaster@caiso.com EDIS-05-31-01 2212 PDT --------------------------------------------------------- To update or terminate your subscription to this email service visit our webpage at httpwww.incident.comedismail.html. EDIS is operated by the Governors Office of Emergency Services, State of California. This email relay is offered by incident.com as a public service. Because of the complexity of this system and its dependence on other systems, we cannot be responsible for delays or failures in transmission. ---------------------------------------------------------",恶意,"From ISO ISO cancelled STAGE 1 electrical emergency, in effect since 05312001 0900, effective 05312001 2300 For more information contact webmaster@caiso.com EDIS-05-31-01 2212 PDT --------------------------------------------------------- To update or terminate your subscription to this email service visit our webpage at httpwww.incident.comedismail.html. EDIS is operated by the Governors Office of Emergency Services, State of California. This email relay is offered by incident.com as a public service. Because of the complexity of this system and its dependence on other systems, we cannot be responsible for delays or failures in transmission. ---------------------------------------------------------",是
206,http://olx.co.id/i2/elektronik-gadget/fotografi/teleskop/elektronik-gadget/fotografi/teleskop,良性,http://olx.co.id/i2/elektronik-gadget/fotografi/teleskop/elektronik-gadget/fotografi/teleskop,是
207,"Yes were are on for lunch. As for the shirt, I quess a large? Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax 713-646-3490",良性,"Yes were are on for lunch. As for the shirt, I quess a large? Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax 713-646-3490",是
208,http://27.215.215.117:44017/bin.sh,恶意,http://27.215.215.117:44017/bin.sh,是
209,"-----Original Message----- From Kitchen, Louise Sent Saturday, December 01, 2001 548 PM To Bradford, William S. Subject Credit Bradford Bill Vice President Brackett Debbie Sr Director Rohauer Tanya Sr Director Nelson Rod Director Sacks Ed Manager Williams Jay Manager McGinnis Stephanie Manager Reasoner Monica Sr Analyst Radous Paul Manager Suttle John Manager Sononstine Max Sr Analyst Vanek Darren Analyst Wilhite Jane Sr Analyst Conwell Wendy Sr Analyst Brown Kortney Sr Analyst Espinoza Veronica Analyst Louise Kitchen Chief Operating Officer Enron Americas Tel 713 853 3488 Fax 713 646 2308",恶意,"-----Original Message----- From Kitchen, Louise Sent Saturday, December 01, 2001 548 PM To Bradford, William S. Subject Credit Bradford Bill Vice President Brackett Debbie Sr Director Rohauer Tanya Sr Director Nelson Rod Director Sacks Ed Manager Williams Jay Manager McGinnis Stephanie Manager Reasoner Monica Sr Analyst Radous Paul Manager Suttle John Manager Sononstine Max Sr Analyst Vanek Darren Analyst Wilhite Jane Sr Analyst Conwell Wendy Sr Analyst Brown Kortney Sr Analyst Espinoza Veronica Analyst Louise Kitchen Chief Operating Officer Enron Americas Tel 713 853 3488 Fax 713 646 2308",是
210,"PLANNED OUTAGE N O T I F I C A T I O N INFORMATION SYSTEMS  SERVICES To Who this affects EES Employees All Employees accessing the Lotus Notes Server EESHOU-LN1. Date of Outage Outage Information Purpose POSTPONED - Originally scheduled for Friday, Sept. 22, 2000 Maintenance period will be rescheduled at a future date to be announced. NA Work Around NA Thank you for your cooperation! If you have questions about the above notification, please call the EES Tech Support Call Center at 713 853-9797 or Toll Free at 888 853-9797",恶意,"PLANNED OUTAGE N O T I F I C A T I O N INFORMATION SYSTEMS  SERVICES To Who this affects EES Employees All Employees accessing the Lotus Notes Server EESHOU-LN1. Date of Outage Outage Information Purpose POSTPONED - Originally scheduled for Friday, Sept. 22, 2000 Maintenance period will be rescheduled at a future date to be announced. NA Work Around NA Thank you for your cooperation! If you have questions about the above notification, please call the EES Tech Support Call Center at 713 853-9797 or Toll Free at 888 853-9797",是
211,"Ditto Credit - or in other words, no change to the physical power profiles for these CPs if they are currently trading on EOL. If they are not currently trading on EOL, then they are not approved for physical power. Thanks, Shari Tana Jones 01312001 0950 AM To Alan AronowitzHOUECT@ECT, Jeffrey T HodgeHOUECT@ECT, Shari StackHOUECT@ECT, Harry M CollinsHOUECT@ECT, David MinnsENRON_DEVELOPMENT@ENRON_DEVELOPMENt, Marie HeardEnron Communications@Enron Communications, Robbi RossiEnron Communications@Enron Communications, John ViveritoCorpEnron@Enron, Jane McBrideAPEnron@Enron, Andrea CaloSAEnron@Enron, Peter KeohaneCALECT@ECT cc Subject EOL Approvals, 1-31-01 ----- Forwarded by Tana JonesHOUECT on 01312001 0949 AM ----- Walter Guidroz@ENRON 01312001 0942 AM To Karen LambertHOUECT@ECT, Tana JonesHOUECT@ECT, Samuel SchottHOUECT@ECT, Mark TaylorHOUECT@ECT, Brant RevesHOUECT@ECT, Debbie R BrackettHOUECT@ECT, David HardyLONECT@ECT, Lesli CampbellHOUECT@ECT, Cynthia ClarkCorpEnron@ENRON, Mary G GosnellHOUECT@ECT, Enron Europe Global Contracts and Facilities, Enron Europe Global CounterPartyLONECT@ECT, Stephanie SeverHOUECT@ECT, Tom MoranHOUECT@ECT, Adnan PatelCorpEnron@ENRON, Claudia ClarkHOUECT@ECT, William S BradfordHOUECT@ECT, Lisa LeesHOUECT@ECT, Juana FayettCorpEnron@Enron, Jana MorseCorpEnron@Enron, Trang LeHOUECT@ECT, Paul MaleyLONECT@ECT, Sonya ClarkeLONECT@ECT, Lee MundenLONECT@ECT, Tim DaviesLONECT@ECT, Karen ODayNAEnron@Enron, Tanya RohauerHOUECT@ECT, Kelly LombardiNAEnron@Enron, Brian LindsayEnron Communications@Enron Communications cc Subject EOL Approvals, 1-31-01 Please see attached.",恶意,"Ditto Credit - or in other words, no change to the physical power profiles for these CPs if they are currently trading on EOL. If they are not currently trading on EOL, then they are not approved for physical power. Thanks, Shari Tana Jones 01312001 0950 AM To Alan AronowitzHOUECT@ECT, Jeffrey T HodgeHOUECT@ECT, Shari StackHOUECT@ECT, Harry M CollinsHOUECT@ECT, David MinnsENRON_DEVELOPMENT@ENRON_DEVELOPMENt, Marie HeardEnron Communications@Enron Communications, Robbi RossiEnron Communications@Enron Communications, John ViveritoCorpEnron@Enron, Jane McBrideAPEnron@Enron, Andrea CaloSAEnron@Enron, Peter KeohaneCALECT@ECT cc Subject EOL Approvals, 1-31-01 ----- Forwarded by Tana JonesHOUECT on 01312001 0949 AM ----- Walter Guidroz@ENRON 01312001 0942 AM To Karen LambertHOUECT@ECT, Tana JonesHOUECT@ECT, Samuel SchottHOUECT@ECT, Mark TaylorHOUECT@ECT, Brant RevesHOUECT@ECT, Debbie R BrackettHOUECT@ECT, David HardyLONECT@ECT, Lesli CampbellHOUECT@ECT, Cynthia ClarkCorpEnron@ENRON, Mary G GosnellHOUECT@ECT, Enron Europe Global Contracts and Facilities, Enron Europe Global CounterPartyLONECT@ECT, Stephanie SeverHOUECT@ECT, Tom MoranHOUECT@ECT, Adnan PatelCorpEnron@ENRON, Claudia ClarkHOUECT@ECT, William S BradfordHOUECT@ECT, Lisa LeesHOUECT@ECT, Juana FayettCorpEnron@Enron, Jana MorseCorpEnron@Enron, Trang LeHOUECT@ECT, Paul MaleyLONECT@ECT, Sonya ClarkeLONECT@ECT, Lee MundenLONECT@ECT, Tim DaviesLONECT@ECT, Karen ODayNAEnron@Enron, Tanya RohauerHOUECT@ECT, Kelly LombardiNAEnron@Enron, Brian LindsayEnron Communications@Enron Communications cc Subject EOL Approvals, 1-31-01 Please see attached.",是
212,https://1dxll.keystoneprospera.in.net/verification.google,恶意,https://1dxll.keystoneprospera.in.net/verification.google,是
213,"Ok. The role I envision would simply be a monitoring role. I do not see any action on our part for now. -----Original Message----- From Shapiro, Richard Sent Monday, October 22, 2001 853 AM To Robertson, Linda Subject RE Press Release Enron Announces SEC Request, Pledges Cooperation Lets discuss tommorrow....mostly a lawyer and accountant show for now. -----Original Message----- From Robertson, Linda Sent Monday, October 22, 2001 748 AM To Shapiro, Richard Subject FW Press Release Enron Announces SEC Request, Pledges Cooperation Is someone from Enron governmental affairs group involved in this inquiry? Let me ask that a member of DC office be assigned to the team handling the issue. -----Original Message----- From Schmidt, Ann M. Sent Monday, October 22, 2001 712 AM Subject Press Release Enron Announces SEC Request, Pledges Cooperation  File 70-LJM final ltr.pdf ",恶意,"Ok. The role I envision would simply be a monitoring role. I do not see any action on our part for now. -----Original Message----- From Shapiro, Richard Sent Monday, October 22, 2001 853 AM To Robertson, Linda Subject RE Press Release Enron Announces SEC Request, Pledges Cooperation Lets discuss tommorrow....mostly a lawyer and accountant show for now. -----Original Message----- From Robertson, Linda Sent Monday, October 22, 2001 748 AM To Shapiro, Richard Subject FW Press Release Enron Announces SEC Request, Pledges Cooperation Is someone from Enron governmental affairs group involved in this inquiry? Let me ask that a member of DC office be assigned to the team handling the issue. -----Original Message----- From Schmidt, Ann M. Sent Monday, October 22, 2001 712 AM Subject Press Release Enron Announces SEC Request, Pledges Cooperation  File 70-LJM final ltr.pdf ",是
